Date,cay,cons,RF
196303,-0.000298435,0.003625109,0.711680322
196306,-0.00154003,0.006171888,0.72172838
196309,0.000962382,0.009664587,0.792080822
196312,-0.001058968,0.004488607,0.852409271
196403,-0.000912569,0.016332457,0.872518418
196406,-0.00800674,0.01435449,0.852406262
196409,-0.003941868,0.014650139,0.862466352
196412,-0.012455699,-0.000690084,0.892641607
196503,-0.002371225,0.019363911,0.942931024
196506,0.001987829,0.008203501,0.973134364
196509,-0.00995908,0.013710567,0.953010171
196512,-0.004728496,0.024482204,0.993266581
196603,0.007185453,0.012171769,1.114109054
196606,5.61E-05,-9.05E-05,1.134249297
196609,0.001898605,0.008291045,1.16448074
196612,-0.010737276,0.001129094,1.2552072
196703,-0.023425643,0.003261551,1.184635037
196706,-0.019135803,0.011143575,0.922813851
196709,-0.025908245,0.002320281,0.942948075
196712,-0.032898951,0.003249965,1.083883633
196803,-0.02311137,0.021569811,1.174567928
196806,-0.029626224,0.01283253,1.315727321
196809,-0.016472664,0.015852734,1.335894669
196812,-0.02756635,0.001842503,1.295553946
196903,-0.017392222,0.00896529,1.457003215
196906,-0.017255756,0.004123476,1.527707974
196909,-0.028779485,0.002056464,1.65905243
196912,-0.026353708,0.005010738,1.770307968
197003,-0.027292621,0.003700343,1.800695204
197006,-0.028819068,0.001464319,1.61863937
197009,-0.03416232,0.005294116,1.598440882
197012,-0.037240183,-0.006147094,1.345988887
197103,-0.041561112,0.015907792,1.013387762
197106,-0.047686015,0.006277176,0.942924004
197109,-0.044583994,0.004856743,1.245105956
197112,-0.040991347,0.013382186,1.114112065
197203,-0.040207793,0.010701876,0.812184957
197206,-0.032912514,0.016523714,0.882583523
197209,-0.03080536,0.012682413,0.942942057
197212,-0.04568983,0.020556702,1.144334476
197303,-0.033972033,0.015946596,1.315722298
197306,-0.036238068,-0.002671575,1.547918525
197309,-0.037330293,0.00100587,2.033622464
197312,-0.03794921,-0.005401934,1.861407296
197403,-0.032289982,-0.011068219,1.780450462
197406,-0.021419001,0.001451683,2.11465875
197409,-0.010585362,0.00174599,2.12476402
197412,-0.023405142,-0.017287311,1.760123278
197503,-0.020508559,0.006304759,1.426645225
197506,-0.049451348,0.01391155,1.295551938
197509,-0.019641829,0.011155093,1.497404211
197512,-0.018217389,0.008126732,1.456963021
197603,-0.015043417,0.017652526,1.214844392
197606,-0.014390262,0.007056113,1.224957682
197609,-0.010812382,0.007872334,1.335898686
197612,-0.004682202,0.010243953,1.21488656
197703,0.005840741,0.009424288,1.093962788
197706,0.000455178,0.002978216,1.154411624
197709,-0.002822908,0.006631429,1.295553946
197712,0.0007117,0.012059017,1.487313005
197803,-0.001199418,0.003264253,1.487300946
197806,0.00844412,0.018637271,1.598438872
197809,0.002250176,0.001238187,1.750099443
197812,0.003597466,0.005142728,2.175561128
197903,-0.002861431,0.002626378,2.32781653
197906,0.000890287,-0.0032791,2.449735136
197909,0.003171113,0.006681117,2.388760211
197912,0.004302494,-0.000618835,2.836364824
198003,0.002700623,-0.004236673,2.927655152
198006,-0.017109871,-0.025601657,2.702895257
198009,-0.018384413,0.007957941,1.93219244
198012,-0.010449504,0.010706725,3.254260472
198103,-0.001770238,0.00128908,3.356793649
198106,-0.004139254,-0.002201747,3.62269267
198109,-0.007546933,0.001910537,3.807316813
198112,-0.017891878,-0.00950524,3.182895639
198203,-0.011754989,0.005246284,2.724288128
198206,-0.012212251,0.000833378,3.183116989
198209,-0.012116593,0.004108708,2.337251698
198212,-6.38E-05,0.014906004,1.901915904
198303,-0.000335017,0.007816201,1.952557951
198306,0.009077686,0.018075344,2.084311823
198309,0.018948844,0.015321886,2.277066742
198312,0.020371268,0.01347715,2.206016836
198403,0.016862359,0.00636145,2.216166391
198406,0.019566362,0.011872008,2.358290385
198409,0.015801157,0.00495285,2.531054532
198412,0.017173808,0.010469618,2.38841872
198503,0.033135328,0.014971569,1.861419374
198506,0.021298354,0.007039172,1.942368136
198509,0.038007164,0.0162157,1.78045046
198512,0.026469081,-0.000314595,1.922180772
198603,0.020820077,0.006707614,1.699525808
198606,0.01611915,0.008723461,1.53781325
198609,0.025741588,0.015095036,1.436812764
198612,0.020451134,0.003684324,1.345967791
198703,0.008310075,-0.000932504,1.325809488
198706,0.026356718,0.011441512,1.305616026
198709,0.023165847,0.008880465,1.386356729
198712,0.018544772,-0.000363986,1.34581319
198803,0.022870346,0.015543598,1.19463987
198806,0.017053417,0.005244852,1.467110495
198809,0.020716618,0.006242534,1.729847656
198812,0.022044636,0.008844348,1.820932905
198903,0.021916399,0.002595969,1.841149479
198906,0.027014473,0.002418764,2.18569658
198909,0.025782214,0.006872373,2.10457367
198912,0.019955407,0.001631075,1.993077621
199003,0.023025032,0.006091194,1.790565794
199006,0.017276186,-5.60E-05,2.01335256
199009,0.026539957,0.000433203,1.952554928
199012,0.022516884,-0.011194101,1.861399256
199103,0.009326267,-0.00681959,1.446906982
199106,0.010065963,0.005035504,1.426701462
199109,0.009111105,0.001416252,1.416634368
199112,-0.004591277,-0.00391803,1.194722224
199203,-0.00362249,0.015637333,0.963063237
199206,-0.004414003,0.003414512,0.922818867
199209,0.000420345,0.006966423,0.832290096
199212,0.005067305,0.008415094,0.741818481
199303,0.007073832,0.000880074,0.701632265
199306,0.01176769,0.006001791,0.71167932
199309,0.016796304,0.007653349,0.75187556
199312,0.018447477,0.005574452,0.701632265
199403,0.027417948,0.008679259,0.731768417
199406,0.026583972,0.004824741,0.892637595
199409,0.029803308,0.004358766,1.023444833
199412,0.030598277,0.007690446,1.194712186
199503,0.023697188,-0.000185936,1.285459728
199506,0.027768772,0.005897032,1.456993167
199509,0.026756676,0.005810511,1.356080094
199512,0.028055182,0.00387712,1.386344673
199603,0.027961966,0.006673776,1.21488154
199606,0.030433619,0.00786684,1.285459728
199609,0.029159313,0.002809038,1.305637118
199612,0.030675585,0.004711785,1.295547921
199703,0.03254481,0.007853456,1.275374547
199706,0.021034901,0.001638244,1.295518796
199709,0.022384395,0.013572691,1.285466757
199712,0.020056118,0.008767886,1.295533862
199803,0.005797073,0.007511713,1.21488154
199806,0.009608935,0.01471761,1.245130052
199809,0.01835308,0.009841537,1.295545912
199812,0.012658169,0.011319766,1.01338977
199903,0.009264493,0.007112621,1.134240268
199906,0.016460959,0.011758201,1.114103032
199909,0.022668893,0.008025391,1.16449078
199912,0.01273723,0.011559423,1.194710178
200003,0.007328695,0.012711783,1.315719286
200006,0.013725885,0.007132432,1.3661492
200009,0.010833411,0.0070576,1.49741024
200012,0.021732564,0.005913406,1.57822028
200103,0.019056492,0.001695149,1.345924618
200106,0.017443382,1.73E-05,0.993239494
200109,0.009317697,0.000817477,0.892640604
200112,0.021303452,0.012296074,0.540959561
200203,0.00382271,0.0008734,0.400533237
200206,0.006263722,0.002880697,0.420587273
200209,0.018064397,0.004706066,0.430616294
200212,0.015713952,0.003281628,0.370454185
200303,0.02068781,0.002629636,0.29028009
200306,0.010440589,0.008938324,0.29028009
200309,0.008487598,0.012075591,0.220161039
200312,0.005160242,0.004377676,0.220161039
200403,0.003766728,0.006913948,0.220159038
200406,-0.001737625,0.004017601,0.220160038
200409,-0.002959023,0.008512832,0.320341121
200412,-0.00083307,0.008335748,0.420581264
200503,0.004257769,0.003685233,0.53
200506,0.005979418,0.009142805,0.68
200509,0.009045438,0.007118778,0.83
200512,0.00586792,0.000457479,0.9
200603,-0.001601995,0.008920082,1.06
200606,0.006354712,0.002797342,1.19
200609,0.008112958,0.003469026,1.24
200612,0.000167603,0.007071372,1.24
200703,-0.007090329,0.003379072,1.26
200706,-0.002249597,-0.000391344,1.26
200709,0.001507782,0.003028063,1.14
200712,0.00608125,0.000299561,0.93
200803,0.009843407,-0.004830515,0.51
200806,-0.006757064,-0.000588786,0.53
200809,0.019210119,-0.009957162,0.43
200812,0.007183661,-0.011688682,0.11
200903,0.005224573,-0.004270004,0.03
200906,-0.017239532,-0.006130066,0.02
200909,-0.006952165,0.004582342,0.03
200912,-0.007548789,-0.003795821,0.01
201003,-0.007136712,0.002921338,0.01
201006,-0.008527399,0.006122432,0.03
201009,-0.013125587,0.005023272,0.03
201012,-0.011178831,0.004617353,0.03
201103,-0.013824761,0.002640159,0.03
201106,-0.00596979,0.00057254,0
201109,0.004150123,0.0019528,0.01
201112,0.006947421,-6.81E-05,0
201203,-0.000340311,0.006409184,0
201206,-0.001967322,-0.000124763,0.01
201209,-0.00546401,-0.000275636,0.02
201212,-0.014750909,0.002565732,0.03
201303,0.004058664,0.003739291,0
201306,-0.004248117,-0.000787379,0
201309,-0.008015926,0.002127064,0
201312,-0.008398312,0.006630201,0
201403,-0.016336763,0.002304619,0
201406,-0.014851317,0.009244867,0
201409,-0.012673276,0.008696641,0
201412,-0.017555325,0.010069473,0
201503,-0.027348297,0.006697526,0
201506,-0.024588732,0.006314056,0
201509,-0.018849451,0.005639964,0
201512,-0.02350179,0.002519222,0.01
201603,-0.023218075,0.006170362,0.05
201606,-0.018235111,0.005533657,0.04
201609,-0.019422232,0.004493323,0.06
201612,-0.019028018,0.004401533,0.06
201703,-0.021686607,0.004556556,0.11
201706,-0.024321337,0.004537077,0.17
201709,-0.027995874,0.004233356,0.25
201712,-0.024902224,0.009837246,0.26
201803,-0.031937814,0.003064714,0.34
201806,-0.028974988,0.008659268,0.42
201809,-0.029345079,0.007118121,0.47
201812,-0.020207342,0.002239718,0.56
