Date,Mkt-RF,SMB,HML,RF
196303,5.587592113,0.86162714,6.714864866,0.711680322
196306,4.22238848,-0.45416032,4.25999675,0.72172838
196309,3.017061436,-1.800102318,1.00762605,0.792080822
196312,3.518845459,-3.601119209,1.486360052,0.852409271
196403,5.278280394,0.898917119,7.9332349,0.872518418
196406,2.810742034,-2.511800058,2.108759948,0.852406262
196409,2.972339994,-0.141636285,2.433327098,0.862466352
196412,0.620177,0.77991218,-3.390576414,0.892641607
196503,2.602035282,8.176263884,1.494760316,0.942931024
196506,-3.32156152,-3.16348088,-0.386696651,0.973134364
196509,7.179131515,4.337044127,1.097872928,0.953010171
196512,3.605169122,9.507406131,3.716989244,0.993266581
196603,-2.996194329,9.627508096,1.621395944,1.114109054
196606,-5.028691814,-0.40655393,-1.59203815,1.134249297
196609,-10.37130969,-4.686671068,1.972114914,1.16448074
196612,5.450948252,-0.890431869,-2.917042376,1.2552072
196703,13.34241344,13.76247557,0.311831661,1.184635037
196706,1.786899668,8.72796765,-0.918986752,0.922813851
196709,6.872729302,6.774974756,1.576217357,0.942948075
196712,0.235258293,7.445828732,-5.412367079,1.083883633
196803,-7.4730655,-0.446156584,5.350319108,1.174567928
196806,12.30594075,12.33714065,0.470017032,1.315727321
196809,2.556469146,3.797444408,6.79048352,1.335894669
196812,1.701417444,5.383542435,1.984382798,1.295553946
196903,-4.5622488,-4.878058855,2.133226034,1.457003215
196906,-5.919003172,-6.475767066,-0.338067387,1.527707974
196909,-5.54870152,-1.127776088,-5.615045967,1.65905243
196912,-1.580131344,-2.529831377,-7.165188986,1.770307968
197003,-4.409643382,-1.89958528,11.75893568,1.800695204
197006,-21.95530548,-12.29018532,11.17895435,1.61863937
197009,16.40151936,9.67556047,-3.69170575,1.598440882
197012,8.051493906,-5.448625379,2.93363545,1.345988887
197103,10.70918748,12.16702532,-3.970718799,1.013387762
197106,-1.05441463,-2.982108538,-2.716135318,0.942924004
197109,-1.723065325,-1.25439616,-0.199659354,1.245105956
197112,3.427054917,-1.43137684,-2.465260585,1.114112065
197203,6.095681217,7.283394621,-2.540652815,0.812184957
197206,-0.923885088,-2.459453921,-4.914285706,0.882583523
197209,1.266173312,-9.348588967,6.002462935,0.942942057
197212,5.795812304,-5.6085417,3.784580688,1.144334476
197303,-9.176689345,-9.944409626,7.328590568,1.315722298
197306,-9.881141075,-12.52477055,7.437081066,1.547918525
197309,5.836351775,8.827578154,-2.142759641,2.033622464
197312,-12.94636747,-12.78372986,10.17957311,1.861407296
197403,-3.431239452,12.57123349,8.562595639,1.780450462
197406,-12.27728329,-3.891231742,-0.21953683,2.11465875
197409,-26.45793485,0.504375109,13.68499065,2.12476402
197412,7.039085795,-9.254408643,-10.134016,1.760123278
197503,23.17095059,15.3571516,6.072164886,1.426645225
197506,14.93512664,4.054164817,-3.83250499,1.295551938
197509,-13.11804192,-0.725305096,1.12736798,1.497404211
197512,6.360741056,-5.882929569,4.096379072,1.456963021
197603,15.12935076,10.85508095,14.80998163,1.214844392
197606,1.126159623,-2.602488022,-0.708586614,1.224957682
197609,0.412375034,-1.716060377,2.246369137,1.335898686
197612,3.464405772,5.66333158,3.628629421,1.21488656
197703,-7.200443409,6.960149078,5.85006926,1.093962788
197706,3.346492557,3.211131839,3.651338528,1.154411624
197709,-3.671216852,5.175471248,-3.837057659,1.295553946
197712,-0.28669904,6.455246794,1.657801272,1.487313005
197803,-4.665313267,9.57465949,5.344297872,1.487300946
197806,7.923428173,6.752372256,-3.572466507,1.598438872
197809,7.492186763,4.922356692,0.275842482,1.750099443
197812,-8.726561297,-6.016263611,-3.060696795,2.175561128
197903,6.228914602,7.448104393,2.803808492,2.32781653
197906,1.493982051,3.54090681,3.899141128,2.449735136
197909,5.522904163,3.10779248,-0.747425755,2.388760211
197912,-1.581294979,3.449647783,-6.92956891,2.836364824
198003,-9.221960362,-6.826748008,1.345389704,2.927655152
198006,12.78764995,4.873572898,0.551192207,2.702895257
198009,10.78092936,9.30079574,-13.14342073,1.93219244
198012,5.745679239,-1.342232398,-8.472290428,3.254260472
198103,-1.098882717,6.35666906,8.599119532,3.356793649
198106,-4.315066224,5.6030786,7.043662467,3.62269267
198109,-15.03417143,-6.638762766,9.563754912,3.807316813
198112,4.487058112,2.333001758,-1.667675926,3.182895639
198203,-10.61351646,-0.99478899,13.60108539,2.724288128
198206,-3.914193384,1.579148612,0.503969103,3.183116989
198209,8.982604779,-0.519694291,1.656199916,2.337251698
198212,17.13844741,7.039077229,-5.558428787,1.901915904
198303,9.280427368,7.893714617,1.870185727,1.952557951
198306,10.5164818,7.693824097,-4.64711492,2.084311823
198309,-3.681051815,-2.359035568,12.69706282,2.277066742
198312,-3.110197389,-1.918703024,6.152252088,2.206016836
198403,-6.059334973,-2.064139853,11.78035057,2.216166391
198406,-4.746934865,-1.486614848,-1.087033204,2.358290385
198409,6.400261376,-2.25938395,3.878100742,2.531054532
198412,-0.792783974,-2.40168464,4.432969626,2.38841872
198503,8.389295185,2.858221202,-1.670766844,1.861419374
198506,5.402966427,-1.66287049,3.249273688,1.942368136
198509,-6.212890679,0.880805102,1.940925435,1.78045046
198512,15.05800324,-1.827027306,-3.610066494,1.922180772
198603,13.08827064,0.039147236,-0.853156079,1.699525808
198606,4.312947623,0.559021141,-1.59826111,1.53781325
198609,-9.30516471,-5.297980431,11.92839337,1.436812764
198612,2.422098131,-4.275865907,-1.01431107,1.345967791
198703,19.3329149,1.992813275,-7.468577999,1.325809488
198706,1.858787553,-4.342842263,0.86742641,1.305616026
198709,4.721127032,-0.872378915,0.033371368,1.386356729
198712,-24.38306156,-5.771172564,2.675945292,1.34581319
198803,6.682043568,8.882078285,4.110941732,1.19463987
